trialNo,tablerow,soundrow,correct_answer,rt,status,trialaccuracy,totalaccuracy,participant,test,group,test_speaker,word1,word2,test_type,testpairs,correct_word,stream_type,training,beeptotalaccuracy,ppID,training_speaker,train_test_speaker_match,lateralization
14,36,36,1,932,2,0,7,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,kirewa,rewani,seg_Attended,kirewa_rewani,kirewa,single,AD_G1_LangA_female,12,9,F,Match,both
15,51,51,1,263,2,0,7,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,herisha,tuheri,seg_Unattended,herisha_tuheri,herisha,single,AD_G1_LangA_female,12,9,F,Mismatch,both
16,13,13,1,513,1,1,8,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,zutami,xonisu,seg_Attended,zutami_xonisu,zutami,single,AD_G1_LangA_female,12,9,F,Mismatch,both
17,42,42,2,289,1,1,9,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,dulepo,fanujo,seg_Unattended,dulepo_fanujo,fanujo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
18,54,54,2,690,1,1,10,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,dulepo,herisha,seg_Unattended,dulepo_herisha,herisha,single,AD_G1_LangA_female,12,9,F,Match,both
19,12,12,1,451,2,0,10,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,pejuxo,rewani,seg_Attended,pejuxo_rewani,pejuxo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
20,22,22,1,511,1,1,11,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,bavolu,voluho,seg_Attended,bavolu_voluho,bavolu,single,AD_G1_LangA_female,12,9,F,Match,both
21,69,69,2,1214,2,0,11,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,tuheri,xidule,seg_Unattended,tuheri_xidule,xidule,single,AD_G1_LangA_female,12,9,F,Mismatch,both
22,26,26,2,544,2,0,11,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,mipeju,hoshife,seg_Attended,mipeju_hoshife,hoshife,single,AD_G1_LangA_female,12,9,F,Mismatch,both
23,58,58,1,602,1,1,12,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,pomasi,masihe,seg_Unattended,pomasi_masihe,pomasi,single,AD_G1_LangA_female,12,9,F,Match,both
24,10,10,1,652,1,1,13,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,pejuxo,voluho,seg_Attended,pejuxo_voluho,pejuxo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
25,23,23,2,368,2,0,13,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,shifeni,bavolu,seg_Attended,shifeni_bavolu,bavolu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
26,24,24,1,1004,2,0,13,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,bavolu,rewani,seg_Attended,bavolu_rewani,bavolu,single,AD_G1_LangA_female,12,9,F,Match,both
27,17,17,1,1393,1,1,14,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,zutami,shifeni,seg_Attended,zutami_shifeni,zutami,single,AD_G1_LangA_female,12,9,F,Mismatch,both
28,2,2,2,2166,2,0,14,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,mipeju,nisuda,seg_Attended,mipeju_nisuda,nisuda,single,AD_G1_LangA_female,12,9,F,Mismatch,both
29,34,34,1,1104,1,1,15,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,kirewa,voluho,seg_Attended,kirewa_voluho,kirewa,single,AD_G1_LangA_female,12,9,F,Match,both
30,72,72,1,891,1,1,16,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,xidule,dulepo,seg_Unattended,xidule_dulepo,xidule,single,AD_G1_LangA_female,12,9,F,Match,both
31,41,41,1,1219,1,1,17,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,fanujo,wetuxi,seg_Unattended,fanujo_wetuxi,fanujo,single,AD_G1_LangA_female,12,9,F,Match,both
32,61,61,1,704,2,0,17,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,biwetu,zafanu,seg_Unattended,biwetu_zafanu,biwetu,single,AD_G1_LangA_female,12,9,F,Match,both
33,19,19,2,751,1,1,18,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,xonisu,bavolu,seg_Attended,xonisu_bavolu,bavolu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
34,30,30,2,471,1,1,19,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,rewani,hoshife,seg_Attended,rewani_hoshife,hoshife,single,AD_G1_LangA_female,12,9,F,Mismatch,both
35,64,64,2,372,2,0,19,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,masihe,biwetu,seg_Unattended,masihe_biwetu,biwetu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
36,32,32,1,517,1,1,20,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,kirewa,mipeju,seg_Attended,kirewa_mipeju,kirewa,single,AD_G1_LangA_female,12,9,F,Match,both
37,5,5,1,358,1,1,21,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,nisuda,shifeni,seg_Attended,nisuda_shifeni,nisuda,single,AD_G1_LangA_female,12,9,F,Match,both
38,62,62,2,508,2,0,21,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,shavuko,biwetu,seg_Unattended,shavuko_biwetu,biwetu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
39,18,18,2,1608,2,0,21,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,rewani,zutami,seg_Attended,rewani_zutami,zutami,single,AD_G1_LangA_female,12,9,F,Match,both
40,9,9,2,623,2,0,21,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,luzuta,pejuxo,seg_Attended,luzuta_pejuxo,pejuxo,single,AD_G1_LangA_female,12,9,F,Match,both
41,21,21,2,318,2,0,21,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,luzuta,bavolu,seg_Attended,luzuta_bavolu,bavolu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
42,53,53,1,2253,1,1,22,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,herisha,wetuxi,seg_Unattended,herisha_wetuxi,herisha,single,AD_G1_LangA_female,12,9,F,Mismatch,both
43,33,33,2,1067,1,1,23,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,luzuta,kirewa,seg_Attended,luzuta_kirewa,kirewa,single,AD_G1_LangA_female,12,9,F,Mismatch,both
44,66,66,2,1449,1,1,24,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,dulepo,biwetu,seg_Unattended,dulepo_biwetu,biwetu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
45,35,35,2,355,1,1,25,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,shifeni,kirewa,seg_Attended,shifeni_kirewa,kirewa,single,AD_G1_LangA_female,12,9,F,Mismatch,both
46,31,31,2,304,1,1,26,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,xonisu,kirewa,seg_Attended,xonisu_kirewa,kirewa,single,AD_G1_LangA_female,12,9,F,Mismatch,both
47,52,52,2,546,2,0,26,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,masihe,herisha,seg_Unattended,masihe_herisha,herisha,single,AD_G1_LangA_female,12,9,F,Match,both
48,16,16,2,1172,1,1,27,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,voluho,zutami,seg_Attended,voluho_zutami,zutami,single,AD_G1_LangA_female,12,9,F,Match,both
49,63,63,2,259,2,0,27,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,biwetu,tuheri,seg_Unattended,biwetu_tuheri,biwetu,single,AD_G1_LangA_female,12,9,F,Match,both
50,59,59,2,192,2,0,27,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,wetuxi,pomasi,seg_Unattended,wetuxi_pomasi,pomasi,single,AD_G1_LangA_female,12,9,F,Mismatch,both
51,60,60,1,153,1,1,28,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,pomasi,dulepo,seg_Unattended,pomasi_dulepo,pomasi,single,AD_G1_LangA_female,12,9,F,Match,both
52,48,48,1,212,1,1,29,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,vukoza,dulepo,seg_Unattended,vukoza_dulepo,vukoza,single,AD_G1_LangA_female,12,9,F,Mismatch,both
53,25,25,1,220,1,1,30,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,hoshife,xonisu,seg_Attended,hoshife_xonisu,hoshife,single,AD_G1_LangA_female,12,9,F,Match,both
54,20,20,1,517,1,1,31,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,bavolu,mipeju,seg_Attended,bavolu_mipeju,bavolu,single,AD_G1_LangA_female,12,9,F,Match,both
55,15,15,1,499,2,0,31,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,zutami,luzuta,seg_Attended,zutami_luzuta,zutami,single,AD_G1_LangA_female,12,9,F,Mismatch,both
56,55,55,2,1687,2,0,31,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,zafanu,pomasi,seg_Unattended,zafanu_pomasi,pomasi,single,AD_G1_LangA_female,12,9,F,Mismatch,both
57,6,6,2,268,1,1,32,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,rewani,nisuda,seg_Attended,rewani_nisuda,nisuda,single,AD_G1_LangA_female,12,9,F,Mismatch,both
58,70,70,1,539,2,0,32,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,xidule,masihe,seg_Unattended,xidule_masihe,xidule,single,AD_G1_LangA_female,12,9,F,Match,both
59,57,57,2,119,2,0,32,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,tuheri,pomasi,seg_Unattended,tuheri_pomasi,pomasi,single,AD_G1_LangA_female,12,9,F,Mismatch,both
60,7,7,2,525,1,1,33,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,xonisu,pejuxo,seg_Attended,xonisu_pejuxo,pejuxo,single,AD_G1_LangA_female,12,9,F,Match,both
61,45,45,2,1884,2,0,33,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,tuheri,vukoza,seg_Unattended,tuheri_vukoza,vukoza,single,AD_G1_LangA_female,12,9,F,Match,both
62,68,68,1,128,1,1,34,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,xidule,shavuko,seg_Unattended,xidule_shavuko,xidule,single,AD_G1_LangA_female,12,9,F,Match,both
63,49,49,1,369,1,1,35,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,herisha,zafanu,seg_Unattended,herisha_zafanu,herisha,single,AD_G1_LangA_female,12,9,F,Mismatch,both
64,37,37,1,258,1,1,36,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,fanujo,zafanu,seg_Unattended,fanujo_zafanu,fanujo,single,AD_G1_LangA_female,12,9,F,Match,both
65,46,46,1,349,1,1,37,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,vukoza,masihe,seg_Unattended,vukoza_masihe,vukoza,single,AD_G1_LangA_female,12,9,F,Mismatch,both
66,71,71,2,269,1,1,38,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,wetuxi,xidule,seg_Unattended,wetuxi_xidule,xidule,single,AD_G1_LangA_female,12,9,F,Match,both
67,11,11,2,1157,2,0,38,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,shifeni,pejuxo,seg_Attended,shifeni_pejuxo,pejuxo,single,AD_G1_LangA_female,12,9,F,Match,both
68,28,28,2,1294,2,0,38,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,voluho,hoshife,seg_Attended,voluho_hoshife,hoshife,single,AD_G1_LangA_female,12,9,F,Mismatch,both
69,14,14,2,746,1,1,39,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,mipeju,zutami,seg_Attended,mipeju_zutami,zutami,single,AD_G1_LangA_female,12,9,F,Match,both
70,29,29,1,255,2,0,39,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,hoshife,shifeni,seg_Attended,hoshife_shifeni,hoshife,single,AD_G1_LangA_female,12,9,F,Match,both
71,67,67,2,783,1,1,40,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,zafanu,xidule,seg_Unattended,zafanu_xidule,xidule,single,AD_G1_LangA_female,12,9,F,Mismatch,both
72,44,44,1,282,1,1,41,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,vukoza,shavuko,seg_Unattended,vukoza_shavuko,vukoza,single,AD_G1_LangA_female,12,9,F,Mismatch,both
73,28,100,2,353,1,1,42,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,pomasi,hoshife,rec,pomasi_hoshife,hoshife,single,AD_G1_LangA_female,12,9,F,Mismatch,both
74,9,81,2,1250,1,1,43,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,herisha,pejuxo,rec,herisha_pejuxo,pejuxo,single,AD_G1_LangA_female,12,9,F,Match,both
75,11,83,2,421,2,0,43,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,biwetu,pejuxo,rec,biwetu_pejuxo,pejuxo,single,AD_G1_LangA_female,12,9,F,Match,both
76,35,107,2,265,1,1,44,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,biwetu,kirewa,rec,biwetu_kirewa,kirewa,single,AD_G1_LangA_female,12,9,F,Mismatch,both
77,2,74,2,268,1,1,45,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,vukoza,nisuda,rec,vukoza_nisuda,nisuda,single,AD_G1_LangA_female,12,9,F,Mismatch,both
78,29,101,1,341,2,0,45,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,hoshife,biwetu,rec,hoshife_biwetu,hoshife,single,AD_G1_LangA_female,12,9,F,Match,both
79,6,78,2,168,1,1,46,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,xidule,nisuda,rec,xidule_nisuda,nisuda,single,AD_G1_LangA_female,12,9,F,Mismatch,both
80,20,92,1,417,1,1,47,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,bavolu,vukoza,rec,bavolu_vukoza,bavolu,single,AD_G1_LangA_female,12,9,F,Match,both
81,14,86,2,202,1,1,48,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,vukoza,zutami,rec,vukoza_zutami,zutami,single,AD_G1_LangA_female,12,9,F,Match,both
82,13,85,1,518,1,1,49,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,zutami,fanujo,rec,zutami_fanujo,zutami,single,AD_G1_LangA_female,12,9,F,Mismatch,both
83,25,97,1,329,1,1,50,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,hoshife,fanujo,rec,hoshife_fanujo,hoshife,single,AD_G1_LangA_female,12,9,F,Match,both
84,26,98,2,1204,2,0,50,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,vukoza,hoshife,rec,vukoza_hoshife,hoshife,single,AD_G1_LangA_female,12,9,F,Mismatch,both
85,21,93,2,407,1,1,51,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,herisha,bavolu,rec,herisha_bavolu,bavolu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
86,32,104,1,431,2,0,51,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,kirewa,vukoza,rec,kirewa_vukoza,kirewa,single,AD_G1_LangA_female,12,9,F,Match,both
87,33,105,2,321,1,1,52,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,herisha,kirewa,rec,herisha_kirewa,kirewa,single,AD_G1_LangA_female,12,9,F,Mismatch,both
88,23,95,2,367,2,0,52,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,biwetu,bavolu,rec,biwetu_bavolu,bavolu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
89,8,80,1,849,1,1,53,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,pejuxo,vukoza,rec,pejuxo_vukoza,pejuxo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
90,34,106,1,399,2,0,53,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,kirewa,pomasi,rec,kirewa_pomasi,kirewa,single,AD_G1_LangA_female,12,9,F,Match,both
91,1,73,1,3678,1,1,54,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,nisuda,fanujo,rec,nisuda_fanujo,nisuda,single,AD_G1_LangA_female,12,9,F,Match,both
92,27,99,1,1696,2,0,54,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,hoshife,herisha,rec,hoshife_herisha,hoshife,single,AD_G1_LangA_female,12,9,F,Match,both
93,5,77,1,793,1,1,55,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,nisuda,biwetu,rec,nisuda_biwetu,nisuda,single,AD_G1_LangA_female,12,9,F,Match,both
94,16,88,2,1862,1,1,56,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,pomasi,zutami,rec,pomasi_zutami,zutami,single,AD_G1_LangA_female,12,9,F,Match,both
95,36,108,1,444,1,1,57,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,kirewa,xidule,rec,kirewa_xidule,kirewa,single,AD_G1_LangA_female,12,9,F,Match,both
96,3,75,1,43,1,1,58,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,nisuda,herisha,rec,nisuda_herisha,nisuda,single,AD_G1_LangA_female,12,9,F,Match,both
97,17,89,1,1252,1,1,59,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,zutami,biwetu,rec,zutami_biwetu,zutami,single,AD_G1_LangA_female,12,9,F,Mismatch,both
98,15,87,1,349,2,0,59,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,zutami,herisha,rec,zutami_herisha,zutami,single,AD_G1_LangA_female,12,9,F,Mismatch,both
99,4,76,2,427,2,0,59,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,pomasi,nisuda,rec,pomasi_nisuda,nisuda,single,AD_G1_LangA_female,12,9,F,Mismatch,both
100,24,96,1,1929,1,1,60,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,bavolu,xidule,rec,bavolu_xidule,bavolu,single,AD_G1_LangA_female,12,9,F,Match,both
101,10,82,1,256,2,0,60,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,pejuxo,pomasi,rec,pejuxo_pomasi,pejuxo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
102,18,90,2,911,1,1,61,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,xidule,zutami,rec,xidule_zutami,zutami,single,AD_G1_LangA_female,12,9,F,Match,both
103,7,79,2,995,2,0,61,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,fanujo,pejuxo,rec,fanujo_pejuxo,pejuxo,single,AD_G1_LangA_female,12,9,F,Match,both
104,22,94,1,719,2,0,61,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,bavolu,pomasi,rec,bavolu_pomasi,bavolu,single,AD_G1_LangA_female,12,9,F,Match,both
105,30,102,2,1740,2,0,61,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,xidule,hoshife,rec,xidule_hoshife,hoshife,single,AD_G1_LangA_female,12,9,F,Mismatch,both
106,19,91,2,1409,1,1,62,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,fanujo,bavolu,rec,fanujo_bavolu,bavolu,single,AD_G1_LangA_female,12,9,F,Mismatch,both
107,12,84,1,1626,2,0,62,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,pejuxo,xidule,rec,pejuxo_xidule,pejuxo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
108,31,103,2,1332,1,1,63,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,fanujo,kirewa,rec,fanujo_kirewa,kirewa,single,AD_G1_LangA_female,12,9,F,Mismatch,both
1,69,69,2,529,2,0,0,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,M,tuheri,xidule,seg_Unattended,tuheri_xidule,xidule,single,AD_G1_LangA_female,12,2,F,Mismatch,both
2,55,55,2,406,2,0,0,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,M,zafanu,pomasi,seg_Unattended,zafanu_pomasi,pomasi,single,AD_G1_LangA_female,12,2,F,Mismatch,both
3,27,27,1,333,2,0,0,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,F,hoshife,luzuta,seg_Attended,hoshife_luzuta,hoshife,single,AD_G1_LangA_female,12,2,F,Match,both
4,64,64,2,508,2,0,0,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,M,masihe,biwetu,seg_Unattended,masihe_biwetu,biwetu,single,AD_G1_LangA_female,12,2,F,Mismatch,both
5,18,18,2,411,1,1,1,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,F,rewani,zutami,seg_Attended,rewani_zutami,zutami,single,AD_G1_LangA_female,12,2,F,Match,both
6,50,50,2,63,1,1,2,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,F,shavuko,herisha,seg_Unattended,shavuko_herisha,herisha,single,AD_G1_LangA_female,12,2,F,Match,both
7,5,5,1,371,1,1,3,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,F,nisuda,shifeni,seg_Attended,nisuda_shifeni,nisuda,single,AD_G1_LangA_female,12,2,F,Match,both
8,25,25,1,1513,2,0,3,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,F,hoshife,xonisu,seg_Attended,hoshife_xonisu,hoshife,single,AD_G1_LangA_female,12,2,F,Match,both
9,62,62,2,930,1,1,4,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,M,shavuko,biwetu,seg_Unattended,shavuko_biwetu,biwetu,single,AD_G1_LangA_female,12,2,F,Mismatch,both
10,67,67,2,93,2,0,4,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,M,zafanu,xidule,seg_Unattended,zafanu_xidule,xidule,single,AD_G1_LangA_female,12,2,F,Mismatch,both
11,40,40,2,736,2,0,4,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,M,masihe,fanujo,seg_Unattended,masihe_fanujo,fanujo,single,AD_G1_LangA_female,12,2,F,Mismatch,both
12,63,63,2,1530,2,0,4,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,F,biwetu,tuheri,seg_Unattended,biwetu_tuheri,biwetu,single,AD_G1_LangA_female,12,2,F,Match,both
13,45,45,2,586,1,1,5,0c1d0354-03e3-4cbe-8bb2-bb72e96ad19b,AD_Group1_test,1,F,tuheri,vukoza,seg_Unattended,tuheri_vukoza,vukoza,single,AD_G1_LangA_female,12,2,F,Match,both
